0,0,0,0
-2,1,-1,0
-4,1,-2,-1
-4,1,-3,-1
-4,1,-4,-1
-3,2,-4,-1
-3,2,-5,-1
-3,2,-6,-1
-2,3,-6,-1
-4,3,-7,-2
-3,4,-7,-2
-3,4,-8,-2
-2,5,-8,-2
-2.0,5.0,-8.0,-2.0
